# FLEXIBILITY PARAMETER SCAN
# FBA model ../../ModelFiles/ecFBA/reducedEcYeast_modified_withDamage.mat
# parsimonious solution true
# Boolean model ../../ModelFiles/Boolean/rules.txt, ../../ModelFiles/Boolean/species.txt
# TF layer ../../ModelFiles/Boolean/TFtargets.txt
# basal damage formation f0 = 0.0001
# basal damage repair r0 = 0.0005
objective	flexibility 1	flexibility 2	regulation factor	rls	average generation time	time phase 1	rls phase 1	damage phase 1	time phase 2	rls phase 2	damage phase 2	time phase 3	rls phase 3	damage phase 3	status
growth (MAX)	0.05	0.05	0.0	14	1.323076923076921	12.399999999999972	10.0	0.07733828350624002	8.399999999999986	4.0	0.26251406765507546	0.0	0.0	NaN	dead (regular)
growth (MAX) + glucoseUptake (MIN)	0.05	0.05	0.0	5	1.2749999999999995	3.600000000000002	3.0	0.09508218251872393	3.900000000000002	2.0	0.22939910316304873	0.0	0.0	NaN	dead (regular)
growth (MAX) + ATPProduction (MIN)	0.05	0.05	0.0	5	1.424999999999999	2.9000000000000012	2.0	0.08114546606524899	10.09999999999998	3.0	0.29057689940669984	0.0	0.0	NaN	dead (regular)
growth (MAX) + ATPProduction (MAX)	0.05	0.05	0.0	7	1.383333333333331	4.5	3.0	0.07779690088104363	6.5999999999999925	4.0	0.2361039605413806	0.0	0.0	NaN	dead (regular)
growth (MAX) + NADHProduction (MIN)	0.05	0.05	0.0	19	1.3722222222222267	19.70000000000001	15.0	0.0878076424836193	8.199999999999987	4.0	0.2502541894805275	0.0	0.0	NaN	dead (regular)
growth (MAX) + NGAM (MAX)	0.05	0.05	0.0	26	1.3600000000000085	29.100000000000144	22.0	0.08511325574795196	7.799999999999988	4.0	0.24262601600126554	0.0	0.0	NaN	dead (regular)
growth (MAX)	0.05	0.05	0.02	15	1.3142857142857136	14.099999999999966	11.0	0.0771410706871455	7.599999999999989	4.0	0.2548732709661837	0.0	0.0	NaN	dead (regular)
growth (MAX) + glucoseUptake (MIN)	0.05	0.05	0.02	6	1.4399999999999982	3.800000000000002	3.0	0.07842866927443382	8.699999999999985	3.0	0.2796038649559847	0.0	0.0	NaN	dead (regular)
growth (MAX) + ATPProduction (MIN)	0.05	0.05	0.02	6	1.3999999999999981	4.100000000000001	3.0	0.0800766311374573	8.699999999999985	3.0	0.2823855468945111	0.0	0.0	NaN	dead (regular)
growth (MAX) + ATPProduction (MAX)	0.05	0.05	0.02	10	1.3666666666666636	8.599999999999985	6.0	0.07797628977578741	6.499999999999993	4.0	0.23545473595477823	0.0	0.0	NaN	dead (regular)
growth (MAX) + NADHProduction (MIN)	0.05	0.05	0.02	20	1.4000000000000057	21.10000000000003	16.0	0.09995432994122906	11.699999999999974	4.0	0.28440133200837364	0.0	0.0	NaN	dead (regular)
growth (MAX) + NGAM (MAX)	0.05	0.05	0.02	26	1.3600000000000085	29.100000000000144	22.0	0.08511325574795196	7.799999999999988	4.0	0.24262601600126554	0.0	0.0	NaN	dead (regular)
growth (MAX)	0.05	0.05	0.04	22	1.3047619047619103	22.700000000000053	18.0	0.07312293587680135	8.399999999999986	4.0	0.2602656042524041	0.0	0.0	NaN	dead (regular)
growth (MAX) + glucoseUptake (MIN)	0.05	0.05	0.04	8	1.3428571428571403	7.29999999999999	5.0	0.08090055682125133	5.299999999999997	3.0	0.25063398585245356	0.0	0.0	NaN	dead (regular)
growth (MAX) + ATPProduction (MIN)	0.05	0.05	0.04	9	1.3124999999999973	8.899999999999984	6.0	0.08155208628593874	4.100000000000001	3.0	0.22636635354021167	0.0	0.0	NaN	dead (regular)
growth (MAX) + ATPProduction (MAX)	0.05	0.05	0.04	13	1.3999999999999975	11.599999999999975	9.0	0.0890153140465126	8.899999999999984	4.0	0.260610380566043	0.0	0.0	NaN	dead (regular)
growth (MAX) + NADHProduction (MIN)	0.05	0.05	0.04	22	1.3571428571428636	23.700000000000067	18.0	0.08088086698008144	7.39999999999999	4.0	0.23062163962049367	0.0	0.0	NaN	dead (regular)
growth (MAX) + NGAM (MAX)	0.05	0.05	0.04	26	1.3600000000000085	29.100000000000144	22.0	0.08511325574795196	7.799999999999988	4.0	0.24262601600126554	0.0	0.0	NaN	dead (regular)
growth (MAX)	0.1	0.05	0.0	14	1.323076923076921	12.399999999999972	10.0	0.07733828350083054	8.399999999999986	4.0	0.2625140675891904	0.0	0.0	NaN	dead (regular)
growth (MAX) + glucoseUptake (MIN)	0.1	0.05	0.0	5	1.5499999999999985	2.9000000000000012	2.0	0.07922338203124728	9.89999999999998	3.0	0.2863963272289612	0.0	0.0	NaN	dead (regular)
growth (MAX) + ATPProduction (MIN)	0.1	0.05	0.0	5	1.5999999999999983	2.700000000000001	2.0	0.08068092305698583	10.499999999999979	3.0	0.2872294105053652	0.0	0.0	NaN	dead (regular)
growth (MAX) + ATPProduction (MAX)	0.1	0.05	0.0	8	1.5428571428571396	5.1999999999999975	4.0	0.0932701055445013	9.799999999999981	4.0	0.2656402905346809	0.0	0.0	NaN	dead (regular)
growth (MAX) + NADHProduction (MIN)	0.1	0.05	0.0	19	1.4500000000000055	20.800000000000026	15.0	0.08800482957626574	8.699999999999985	4.0	0.25077929378681174	0.0	0.0	NaN	dead (regular)
growth (MAX) + NGAM (MAX)	0.1	0.05	0.0	26	1.4440000000000097	30.800000000000168	22.0	0.08992228322939165	8.999999999999984	4.0	0.25619904227081114	0.0	0.0	NaN	dead (regular)
growth (MAX)	0.1	0.05	0.02	16	1.313333333333334	15.099999999999962	12.0	0.07508793791639416	8.199999999999987	4.0	0.2587615338714879	0.0	0.0	NaN	dead (regular)
growth (MAX) + glucoseUptake (MIN)	0.1	0.05	0.02	5	1.3749999999999991	3.800000000000002	3.0	0.08779724026052785	5.1999999999999975	2.0	0.2548132848916748	0.0	0.0	NaN	dead (regular)
growth (MAX) + ATPProduction (MIN)	0.1	0.05	0.02	5	1.3499999999999992	3.900000000000002	3.0	0.08201372859778935	4.300000000000001	2.0	0.2355619928991974	0.0	0.0	NaN	dead (regular)
growth (MAX) + ATPProduction (MAX)	0.1	0.05	0.02	11	1.4599999999999964	9.499999999999982	7.0	0.08448229198880355	8.199999999999987	4.0	0.24080738489919273	0.0	0.0	NaN	dead (regular)
growth (MAX) + NADHProduction (MIN)	0.1	0.05	0.02	20	1.4736842105263226	22.300000000000047	16.0	0.09749088640207204	10.999999999999977	4.0	0.27749829226468775	0.0	0.0	NaN	dead (regular)
growth (MAX) + NGAM (MAX)	0.1	0.05	0.02	26	1.4440000000000097	30.800000000000168	22.0	0.08992228322939165	8.999999999999984	4.0	0.25619904227081114	0.0	0.0	NaN	dead (regular)
growth (MAX)	0.1	0.05	0.04	24	1.2913043478260935	25.700000000000095	20.0	0.06413345533305717	6.799999999999992	4.0	0.23604974952616498	0.0	0.0	NaN	dead (regular)
growth (MAX) + glucoseUptake (MIN)	0.1	0.05	0.04	8	1.5142857142857111	6.8999999999999915	5.0	0.07955104365143162	10.799999999999978	3.0	0.2876416555690181	0.0	0.0	NaN	dead (regular)
growth (MAX) + ATPProduction (MIN)	0.1	0.05	0.04	8	1.385714285714283	8.099999999999987	6.0	0.08929023530778843	4.799999999999999	2.0	0.24545498378100283	0.0	0.0	NaN	dead (regular)
growth (MAX) + ATPProduction (MAX)	0.1	0.05	0.04	14	1.4923076923076928	13.799999999999967	10.0	0.09453899949941681	9.99999999999998	4.0	0.2692174440541448	0.0	0.0	NaN	dead (regular)
growth (MAX) + NADHProduction (MIN)	0.1	0.05	0.04	22	1.433333333333341	25.100000000000087	18.0	0.08243433733354925	7.899999999999988	4.0	0.23500717204854987	0.0	0.0	NaN	dead (regular)
growth (MAX) + NGAM (MAX)	0.1	0.05	0.04	26	1.4440000000000097	30.800000000000168	22.0	0.08992228322939165	8.999999999999984	4.0	0.25619904227081114	0.0	0.0	NaN	dead (regular)
growth (MAX)	0.15	0.05	0.0	14	1.323076923076921	12.399999999999972	10.0	0.07733828352108774	8.399999999999986	4.0	0.26251406741266936	0.0	0.0	NaN	dead (regular)
growth (MAX) + glucoseUptake (MIN)	0.15	0.05	0.0	5	1.5999999999999983	2.800000000000001	2.0	0.07891484956334935	8.199999999999987	3.0	0.26655252625640874	0.0	0.0	NaN	dead (regular)
growth (MAX) + ATPProduction (MIN)	0.15	0.05	0.0	4	1.4333333333333336	2.600000000000001	2.0	0.0822989601677775	5.299999999999997	2.0	0.25211553515447394	0.0	0.0	NaN	dead (regular)
growth (MAX) + ATPProduction (MAX)	0.15	0.05	0.0	8	1.6142857142857108	5.599999999999996	4.0	0.09050912161738817	9.699999999999982	4.0	0.2578144774472114	0.0	0.0	NaN	dead (regular)
growth (MAX) + NADHProduction (MIN)	0.15	0.05	0.0	19	1.5277777777777846	23.600000000000065	16.0	0.11351674615071974	7.499999999999989	3.0	0.24883735901430276	0.0	0.0	NaN	dead (regular)
growth (MAX) + NGAM (MAX)	0.15	0.05	0.0	26	1.5440000000000111	32.60000000000019	22.0	0.09562555194928246	11.099999999999977	4.0	0.27220842805083173	0.0	0.0	NaN	dead (regular)
growth (MAX)	0.15	0.05	0.02	16	1.313333333333334	15.399999999999961	12.0	0.07405729762606646	7.599999999999989	4.0	0.2529531329652386	0.0	0.0	NaN	dead (regular)
growth (MAX) + glucoseUptake (MIN)	0.15	0.05	0.02	5	1.4999999999999987	4.000000000000002	2.0	0.07908698999027532	5.699999999999996	3.0	0.25223184385026287	0.0	0.0	NaN	dead (regular)
growth (MAX) + ATPProduction (MIN)	0.15	0.05	0.02	5	1.4749999999999988	4.100000000000001	3.0	0.09735553400767329	7.099999999999991	2.0	0.27303443926405735	0.0	0.0	NaN	dead (regular)
growth (MAX) + ATPProduction (MAX)	0.15	0.05	0.02	11	1.549999999999996	10.09999999999998	7.0	0.0855898304115223	8.799999999999985	4.0	0.24391620458403002	0.0	0.0	NaN	dead (regular)
growth (MAX) + NADHProduction (MIN)	0.15	0.05	0.02	20	1.5526315789473764	23.500000000000064	16.0	0.09625063696717792	11.299999999999976	4.0	0.27396096617249655	0.0	0.0	NaN	dead (regular)
growth (MAX) + NGAM (MAX)	0.15	0.05	0.02	26	1.5440000000000111	32.60000000000019	22.0	0.09562555194928246	11.099999999999977	4.0	0.27220842805083173	0.0	0.0	NaN	dead (regular)
growth (MAX)	0.15	0.05	0.04	24	1.3217391304347896	24.60000000000008	19.0	0.0485917329953561	10.499999999999979	5.0	0.2716533119003668	0.0	0.0	NaN	dead (regular)
growth (MAX) + glucoseUptake (MIN)	0.15	0.05	0.04	7	1.4666666666666641	7.099999999999991	5.0	0.08623368940214574	5.599999999999996	2.0	0.25625827063696927	0.0	0.0	NaN	dead (regular)
growth (MAX) + ATPProduction (MIN)	0.15	0.05	0.04	8	1.5571428571428538	8.099999999999987	5.0	0.08047711452399944	9.399999999999983	3.0	0.2841046674736525	0.0	0.0	NaN	dead (regular)
growth (MAX) + ATPProduction (MAX)	0.15	0.05	0.04	14	1.5538461538461552	14.599999999999964	10.0	0.08913034576492702	9.399999999999983	4.0	0.253925382191829	0.0	0.0	NaN	dead (regular)
growth (MAX) + NADHProduction (MIN)	0.15	0.05	0.04	22	1.5190476190476279	28.10000000000013	19.0	0.10826802527887872	6.8999999999999915	3.0	0.23740548102279385	0.0	0.0	NaN	dead (regular)
growth (MAX) + NGAM (MAX)	0.15	0.05	0.04	26	1.5440000000000111	32.60000000000019	22.0	0.09562555194928246	11.099999999999977	4.0	0.27220842805083173	0.0	0.0	NaN	dead (regular)
growth (MAX)	0.2	0.05	0.0	14	1.323076923076921	12.399999999999972	10.0	0.07733828352387727	8.399999999999986	4.0	0.26251406766863916	0.0	0.0	NaN	dead (regular)
growth (MAX) + glucoseUptake (MIN)	0.2	0.05	0.0	8	1.6714285714285677	7.499999999999989	5.0	0.08317475058839369	8.599999999999985	3.0	0.2604851865047145	0.0	0.0	NaN	dead (regular)
growth (MAX) + ATPProduction (MIN)	0.2	0.05	0.0	7	1.5833333333333304	7.499999999999989	5.0	0.08839333940852429	5.4999999999999964	2.0	0.24466751534935408	0.0	0.0	NaN	dead (regular)
growth (MAX) + ATPProduction (MAX)	0.2	0.05	0.0	8	1.6999999999999962	5.899999999999995	4.0	0.08685261574470021	9.599999999999982	4.0	0.24745665385316262	0.0	0.0	NaN	dead (regular)
growth (MAX) + NADHProduction (MIN)	0.2	0.05	0.0	19	1.6055555555555634	25.000000000000085	16.0	0.10991732804988663	7.29999999999999	3.0	0.24097957550996202	0.0	0.0	NaN	dead (regular)
growth (MAX) + NGAM (MAX)	0.2	0.05	0.0	26	1.6520000000000126	33.3000000000002	21.0	0.07717707759393923	15.399999999999961	5.0	0.2852544352318955	0.0	0.0	NaN	dead (regular)
growth (MAX)	0.2	0.05	0.02	16	1.3066666666666673	15.399999999999961	12.0	0.06819741787070223	7.39999999999999	4.0	0.24799365849548397	0.0	0.0	NaN	dead (regular)
growth (MAX) + glucoseUptake (MIN)	0.2	0.05	0.02	15	1.6500000000000041	19.300000000000004	12.0	0.0816594814633145	10.399999999999979	3.0	0.28148519155464263	0.0	0.0	NaN	dead (regular)
growth (MAX) + ATPProduction (MIN)	0.2	0.05	0.02	14	1.5692307692307708	19.1	12.0	0.07999377739845331	4.4	2.0	0.23208349970838435	0.0	0.0	NaN	dead (regular)
growth (MAX) + ATPProduction (MAX)	0.2	0.05	0.02	11	1.6399999999999963	10.699999999999978	7.0	0.08261031241331232	8.999999999999984	4.0	0.23544796214563035	0.0	0.0	NaN	dead (regular)
